ncbi_taxon_id	scientific_name	n_plantcyc_org_ids	plantcyc_org_ids	in_proteins_dat	n_proteins	in_compounds_dat	n_compounds	n_genes	n_pathways_source	in_gpml	gpml_as_geneproduct	gpml_as_protein	gpml_as_metabolite	gpml_as_complex	n_gpml_geneproduct_nodes	n_gpml_protein_nodes	n_gpml_metabolite_nodes	n_gpml_complex_groups	n_gpml_pathway_files	gpml_name_form	cplx_protein_ids	cplx_component_ids
3055	Chlamydomonas reinhardtii	1	TAX-3055	yes	281	yes	1	245	78	yes	yes	yes	yes	no	206	318	1	0	111	resolved_name	CPLX-7520; CPLX-8597; CPLX-8665; CPLX-8669; CPLX4LZ-0; CPLX4LZ-1; CPLX4LZ-11; CPLX4LZ-110; CPLX4LZ-124; CPLX4LZ-130; CPLX4LZ-138; CPLX4LZ-141; CPLX4LZ-144; CPLX4LZ-147; CPLX4LZ-15; CPLX4LZ-150; CPLX4LZ-171; CPLX4LZ-174; CPLX4LZ-2; CPLX4LZ-235; CPLX4LZ-246; CPLX4LZ-248; CPLX4LZ-261; CPLX4LZ-29; CPLX4LZ-290; CPLX4LZ-294; CPLX4LZ-34; CPLX4LZ-4; CPLX4LZ-41; CPLX4LZ-47; CPLX4LZ-5; CPLX4LZ-9	CHLREDRAFT_108283-MONOMER; CHLREDRAFT_116547-MONOMER; CHLREDRAFT_127639-MONOMER; CHLREDRAFT_128906-MONOMER; CHLREDRAFT_130316-MONOMER; CHLREDRAFT_130914-MONOMER; CHLREDRAFT_131464-MONOMER; CHLREDRAFT_132151-MONOMER; CHLREDRAFT_132678-MONOMER; CHLREDRAFT_133395-MONOMER; CHLREDRAFT_133544-MONOMER; CHLREDRAFT_134235-MONOMER; CHLREDRAFT_134449-MONOMER; CHLREDRAFT_135635-MONOMER; CHLREDRAFT_136578-MONOMER; CHLREDRAFT_141145-MONOMER; CHLREDRAFT_143441-MONOMER; CHLREDRAFT_144056-MONOMER; CHLREDRAFT_144609-MONOMER; CHLREDRAFT_145512-MONOMER; CHLREDRAFT_147109-MONOMER; CHLREDRAFT_147968-MONOMER; CHLREDRAFT_149240-MONOMER; CHLREDRAFT_152682-MONOMER; CHLREDRAFT_153656-MONOMER; CHLREDRAFT_153678-MONOMER; CHLREDRAFT_155150-MONOMER; CHLREDRAFT_158763-MONOMER; CHLREDRAFT_159566-MONOMER; CHLREDRAFT_162765-MONOMER; CHLREDRAFT_164272-MONOMER; CHLREDRAFT_164424-MONOMER; CHLREDRAFT_165416-MONOMER; CHLREDRAFT_168073-MONOMER; CHLREDRAFT_177155-MONOMER; CHLREDRAFT_182302-MONOMER; CHLREDRAFT_182359-MONOMER; CHLREDRAFT_182740-MONOMER; CHLREDRAFT_182959-MONOMER; CHLREDRAFT_184067-MONOMER; CHLREDRAFT_184071-MONOMER; CHLREDRAFT_184222-MONOMER; CHLREDRAFT_184397-MONOMER; CHLREDRAFT_184471-MONOMER; CHLREDRAFT_184479-MONOMER; CHLREDRAFT_184490-MONOMER; CHLREDRAFT_184606-MONOMER; CHLREDRAFT_184649-MONOMER; CHLREDRAFT_184775-MONOMER; CHLREDRAFT_184810-MONOMER; CHLREDRAFT_184815-MONOMER; CHLREDRAFT_184971-MONOMER; CHLREDRAFT_185200-MONOMER; CHLREDRAFT_185375-MONOMER; CHLREDRAFT_185533-MONOMER; CHLREDRAFT_186185-MONOMER; CHLREDRAFT_186501-MONOMER; CHLREDRAFT_186531-MONOMER; CHLREDRAFT_187882-MONOMER; CHLREDRAFT_188142-MONOMER; CHLREDRAFT_190543-MONOMER; CHLREDRAFT_190916-MONOMER; CHLREDRAFT_191034-MONOMER; CHLREDRAFT_191146-MONOMER; CHLREDRAFT_191596-MONOMER; CHLREDRAFT_191690-MONOMER; CHLREDRAFT_191828-MONOMER; CHLREDRAFT_192142-MONOMER; CHLREDRAFT_192157-MONOMER; CHLREDRAFT_192478-MONOMER; CHLREDRAFT_193296-MONOMER; CHLREDRAFT_193762-MONOMER; CHLREDRAFT_193847-MONOMER; CHLREDRAFT_194183-MONOMER; CHLREDRAFT_194458-MONOMER; CHLREDRAFT_195162-MONOMER; CHLREDRAFT_195711-MONOMER; CHLREDRAFT_195712-MONOMER; CHLREDRAFT_195724-MONOMER; CHLREDRAFT_196834-MONOMER; CHLREDRAFT_205752-MONOMER; CHLREDRAFT_205903-MONOMER; CHLREDRAFT_205935-MONOMER; CHLREDRAFT_33411-MONOMER; CHLREDRAFT_54440-MONOMER; CHLREDRAFT_57090-MONOMER; CHLREDRAFT_59411-MONOMER; CHLREDRAFT_60238-MONOMER; CHLREDRAFT_76146-MONOMER; CHLREDRAFT_76602-MONOMER; CHLREDRAFT_77031-MONOMER; CHLREDRAFT_77311-MONOMER; CHLREDRAFT_78831-MONOMER; CHLREDRAFT_81617-MONOMER; CHLREDRAFT_98021-MONOMER; CHRECP001-MONOMER; CHRECP002-MONOMER; CHRECP004-MONOMER; CHRECP008-MONOMER; CHRECP019-MONOMER; CHRECP023-MONOMER; CHRECP026-MONOMER; CHRECP027-MONOMER; CHRECP029-MONOMER; CHRECP031-MONOMER; CHRECP032-MONOMER; CHRECP040-MONOMER; CHRECP044-MONOMER; CHRECP045-MONOMER; CHRECP048-MONOMER; CHRECP049-MONOMER; CHRECP050-MONOMER; CHRECP053-MONOMER; CHRECP054-MONOMER; CHRECP057-MONOMER; CHRECP058-MONOMER; CHRECP061-MONOMER; CHRECP062-MONOMER; CHRECP063-MONOMER; CHRECP064-MONOMER; CHRECP066-MONOMER; CHRECP067-MONOMER; CHRECP068-MONOMER; CHREPMP01-MONOMER; CHREPMP02-MONOMER; CHREPMP03-MONOMER; CHREPMP04-MONOMER; CHREPMP05-MONOMER; CHREPMP06-MONOMER; CHREPMP07-MONOMER; CPLX4LZ-0; CPLX4LZ-1; CPLX4LZ-124; CPLX4LZ-130; CPLX4LZ-138; CPLX4LZ-141; CPLX4LZ-144; CPLX4LZ-147; CPLX4LZ-150; CPLX4LZ-174; CPLX4LZ-2; CPLX4LZ-246; CPLX4LZ-248; CPLX4LZ-290; CPLX4LZ-4; CPLX4LZ-5; GIO2-1211-MONOMER; GIO2-1327-MONOMER; GIO2-1469-MONOMER; GIO2-1489-MONOMER; GIO2-1782-MONOMER; GIO2-1795-MONOMER; GIO2-230-MONOMER; GIO2-3738-MONOMER; GIO2-4014-MONOMER; GIO2-529-MONOMER; GIO2-579-MONOMER; MONOMER-17834; MONOMER-17964
41568	Chrysanthemum x morifolium	1	TAX-41568	yes	2	no	0	2	3	yes	yes	yes	no	no	10	10	0	0	5	resolved_name		
36749	Chrysosplenium americanum	1	TAX-36749	yes	12	no	0	4	8	yes	yes	yes	no	no	20	40	0	0	10	resolved_name		
3827	Cicer arietinum	1	TAX-3827	yes	40	no	0	1	16	yes	yes	yes	no	no	4	64	0	0	21	resolved_name	CPLX-1130; CPLX-6929	MONOMER-11626; MONOMER-11627; MONOMER-1289
13427	Cichorium intybus	1	TAX-13427	yes	8	no	0	3	7	yes	yes	yes	no	no	8	16	0	0	7	resolved_name		
43462	Cinchona	1	TAX-43462	yes	2	no	0	0	1	yes	no	yes	no	no	0	2	0	0	1	resolved_name		
192326	Cinnamomum tenuipile	1	TAX-192326	yes	1	no	0	1	2	yes	yes	yes	no	no	2	2	0	0	2	resolved_name		
191224	Cistus creticus	1	TAX-191224	yes	2	no	0	2	3	yes	yes	yes	no	no	4	4	0	0	4	resolved_name		
76966	Citrus japonica	1	TAX-76966	yes	1	no	0	1	3	yes	yes	yes	no	no	4	4	0	0	4	resolved_name		
135197	Citrus junos	1	TAX-135197	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
37334	Citrus maxima	1	TAX-37334	yes	3	no	0	1	4	yes	yes	yes	no	no	2	4	0	0	4	resolved_name		
2711	Citrus sinensis	1	TAX-2711	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
55188	Citrus unshiu	1	TAX-55188	yes	1	no	0	1	4	yes	yes	yes	no	no	6	6	0	0	6	resolved_name		
43166	Citrus x aurantium	1	TAX-43166	yes	1	no	0	0	2	yes	no	yes	no	no	0	2	0	0	2	resolved_name		
164113	Citrus x microcarpa	1	TAX-164113	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
37656	Citrus x paradisi	1	TAX-37656	yes	3	no	0	2	14	yes	yes	yes	no	no	27	29	0	0	16	resolved_name		
36903	Clarkia breweri	1	TAX-36903	yes	12	no	0	9	13	yes	yes	yes	no	no	10	24	0	0	18	resolved_name	CPLX-6224; CPLX-8656	MONOMER-10584; MONOMER-17946; MONOMER-17947
90527	Cleretum bellidiforme	1	TAX-90527	yes	2	no	0	2	1	yes	yes	yes	no	no	4	4	0	0	2	resolved_name		
43366	Clitoria ternatea	1	TAX-43366	yes	6	no	0	2	2	yes	no	yes	no	no	0	7	0	0	3	resolved_name	CPLX-8691	MONOMER-18042; MONOMER-18043
13443	Coffea arabica	1	TAX-13443	yes	6	no	0	6	3	yes	yes	yes	no	no	16	16	0	0	3	resolved_name		
49390	Coffea canephora	1	TAX-49390	yes	6	no	0	6	12	yes	yes	yes	no	no	30	30	0	0	12	resolved_name		
45005	Colchicum autumnale	1	TAX-45005	yes	3	no	0	0	1	yes	no	yes	no	no	0	3	0	0	1	resolved_name		
4142	Coleus scutellarioides	1	TAX-4142	yes	4	no	0	1	2	yes	yes	yes	no	no	3	10	0	0	3	resolved_name		
13447	Conium maculatum	1	TAX-13447	yes	3	no	0	0	1	yes	no	yes	no	no	0	3	0	0	2	resolved_name		
3442	Coptis japonica	1	TAX-3442	yes	12	no	0	8	7	yes	yes	yes	no	no	11	18	0	0	11	resolved_name	CPLX-5003; CPLX-5006; CPLX-5021; CPLX-5643	MONOMER-8423; MONOMER-8428; MONOMER-8441; MONOMER-9446
397412	Coptis japonica	1	TAX-397412	yes	3	no	0	2	3	yes	yes	yes	no	no	11	18	0	0	11	resolved_name		
13449	Coreopsis grandiflora	1	TAX-13449	yes	1	no	0	0	2	yes	no	yes	no	no	0	2	0	0	2	resolved_name		
4047	Coriandrum sativum	1	TAX-4047	yes	2	no	0	1	1	yes	yes	yes	no	no	1	2	0	0	1	resolved_name		
282776	Corydalis saxicola	1	TAX-282776	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
3463	Corydalis vaginans	2	ORG-5892; ORG-5893	yes	2	no	0	0	2	yes	no	yes	no	no	0	3	0	0	3	resolved_name		
72610	Crepis alpina	1	TAX-72610	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
72611	Crepis palaestina	1	TAX-72611	yes	1	no	0	1	2	yes	yes	yes	no	no	2	2	0	0	2	resolved_name		
82528	Crocus sativus	1	TAX-82528	yes	4	no	0	2	2	yes	yes	yes	no	no	2	2	0	0	2	resolved_name	CPLX-7229	MONOMER-12717
431156	Croton stellatopilosus	1	TAX-431156	yes	3	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name	CPLX-7843	MONOMER-14873
107238	Croton sublyratus	1	TAX-107238	yes	2	no	0	1	2	yes	yes	yes	no	no	6	7	0	0	6	resolved_name		
3369	Cryptomeria japonica	1	TAX-3369	yes	1	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name		
3656	Cucumis melo	1	TAX-3656	yes	12	no	0	8	13	yes	yes	yes	no	no	25	37	0	0	17	resolved_name		
3659	Cucumis sativus	1	TAX-3659	yes	14	no	0	3	12	yes	yes	yes	no	no	11	39	0	0	15	resolved_name	CPLX-7065; CPLX-7066	MONOMER-12062; MONOMER-12063
3661	Cucurbita maxima	1	TAX-3661	yes	5	no	0	5	5	yes	yes	yes	no	no	22	22	0	0	13	resolved_name		
3663	Cucurbita pepo	3	ORG-5896; ORG-5897; TAX-3663	yes	4	no	0	0	1	yes	no	yes	no	no	0	4	0	0	3	resolved_name		
136217	Curcuma longa	1	TAX-136217	yes	4	no	0	4	2	yes	yes	yes	no	no	10	10	0	0	6	resolved_name		
79837	Cymbopogon martinii	1	TAX-79837	yes	2	no	0	1	1	yes	yes	yes	no	no	1	2	0	0	1	resolved_name		
101602	Dahlia variabilis	1	TAX-101602	yes	4	no	0	1	7	yes	yes	yes	no	no	3	9	0	0	8	resolved_name		
106130	Dalbergia cochinchinensis	1	TAX-106130	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
298683	Dalbergia nigrescens	1	TAX-298683	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
66679	Daphne odora	1	ORG-6210	yes	2	yes	4	0	2	yes	no	yes	yes	no	0	2	5	0	3	resolved_name		
4076	Datura stramonium	1	TAX-4076	yes	3	no	0	2	3	yes	yes	yes	no	no	6	8	0	0	5	resolved_name		
4039	Daucus carota	1	TAX-4039	yes	17	no	0	1	17	yes	yes	yes	no	no	6	38	0	0	22	resolved_name	CPLX-14	MONOMER-13
328206	Davallia trichomanoides	1	TAX-328206	yes	1	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name		
85439	Delphinium grandiflorum	1	TAX-85439	yes	4	no	0	4	5	yes	yes	yes	no	no	10	10	0	0	5	resolved_name		
225101	Desmodium uncinatum	1	TAX-225101	yes	1	no	0	1	2	yes	yes	yes	no	no	2	2	0	0	2	resolved_name		
3570	Dianthus caryophyllus	1	TAX-3570	yes	11	no	0	8	12	yes	yes	yes	no	no	12	21	0	0	13	resolved_name		
49450	Digitalis lanata	1	TAX-49450	yes	9	no	0	4	2	yes	yes	yes	no	no	4	9	0	0	5	resolved_name		
4164	Digitalis purpurea	1	TAX-4164	yes	1	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name		
149691	Dimorphandra mollis	1	TAX-149691	yes	1	no	0	0	7	yes	no	yes	no	no	0	9	0	0	9	resolved_name		
112408	Dimorphotheca sinuata	1	TAX-112408	yes	2	no	0	2	1	yes	yes	yes	no	no	2	2	0	0	1	resolved_name		
35925	Diospyros kaki	1	TAX-35925	yes	1	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name		
97234	Dryopteris crassirhizoma	1	TAX-97234	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
3258	Equisetum arvense	1	TAX-3258	yes	5	no	0	2	12	yes	yes	yes	no	no	8	19	0	0	15	resolved_name		
32224	Eriobotrya japonica	1	TAX-32224	yes	1	no	0	1	2	yes	yes	yes	no	no	2	2	0	0	2	resolved_name		
3467	Eschscholzia californica	1	TAX-3467	yes	13	no	0	9	9	yes	yes	yes	no	no	26	30	0	0	9	resolved_name		
4307	Euonymus alatus	1	TAX-4307	yes	2	no	0	0	1	yes	no	yes	no	no	0	2	0	0	1	resolved_name		
54672	Euphorbia lagascae	1	TAX-54672	yes	3	no	0	1	3	yes	yes	yes	no	no	1	4	0	0	4	resolved_name		
52518	Eustoma grandiflorum	1	TAX-52518	yes	1	no	0	1	0	yes	yes	yes	no	no	2	2	0	0	2	resolved_name		
3617	Fagopyrum esculentum	1	TAX-3617	yes	6	no	0	3	17	yes	yes	yes	no	no	14	25	0	0	20	resolved_name		
62330	Fagopyrum tataricum	1	TAX-62330	yes	5	no	0	1	4	yes	yes	yes	no	no	4	8	0	0	5	resolved_name		
4224	Flaveria bidentis	1	TAX-4224	yes	2	no	0	0	1	yes	no	yes	no	no	0	4	0	0	2	resolved_name		
4228	Flaveria chlorifolia	1	TAX-4228	yes	4	no	0	0	1	yes	no	yes	no	no	0	8	0	0	2	resolved_name		
48038	Foeniculum vulgare	1	TAX-48038	yes	4	no	0	0	5	yes	no	yes	no	no	0	10	0	0	5	resolved_name		
205692	Forsythia koreana	1	TAX-205692	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
55183	Forsythia x intermedia	1	TAX-55183	yes	6	no	0	3	3	yes	no	yes	no	no	0	4	0	0	2	resolved_name	CPLX-7298; CPLX-7300; CPLX-7303	MONOMER-12932; MONOMER-12934; MONOMER-12936
3746	Fragaria	1	TAX-3746	yes	1	yes	1	1	2	yes	yes	yes	yes	no	2	2	1	0	2	resolved_name		
3747	Fragaria x ananassa	1	TAX-3747	yes	14	no	0	3	8	yes	yes	yes	no	no	5	16	0	0	14	resolved_name	CPLX-9249	MONOMER-14074
867926	Freesia hybrid cultivar	1	TAX-867926	yes	1	no	0	1	3	yes	yes	yes	no	no	3	3	0	0	3	resolved_name		
254777	Galium mollugo	1	TAX-254777	yes	3	no	0	0	2	yes	no	yes	no	no	0	7	0	0	3	resolved_name		
50768	Gentiana straminea	1	TAX-50768	yes	1	no	0	1	7	yes	yes	yes	no	no	8	8	0	0	8	resolved_name		
55190	Gentiana triflora	1	TAX-55190	yes	4	no	0	4	2	yes	yes	yes	no	no	7	7	0	0	3	resolved_name		
18101	Gerbera hybrid cultivar	1	TAX-18101	yes	1	no	0	1	4	yes	yes	yes	no	no	6	6	0	0	6	resolved_name		
3311	Ginkgo biloba	1	TAX-3311	yes	8	no	0	8	12	yes	yes	yes	no	no	23	23	0	0	18	resolved_name		
76714	Glandularia x hybrida	1	TAX-76714	yes	1	no	0	1	5	yes	yes	yes	no	no	6	6	0	0	6	resolved_name		
99038	Glebionis coronaria	1	TAX-99038	no	0	yes	1	0	0	yes	no	no	yes	no	0	0	1	0	1	resolved_name		
118509	Glebionis segetum	1	TAX-118509	yes	2	no	0	0	4	yes	no	yes	no	no	0	8	0	0	7	resolved_name		
3847	Glycine max	1	TAX-3847	yes	174	no	0	126	127	yes	yes	yes	no	no	491	587	0	0	142	resolved_name	CPLX-1102; CPLX-1106; CPLX-1107; CPLX-1122; CPLX-1125; CPLX-5362; CPLX-5381; CPLX-5561; CPLX-5682; CPLX-6981; CPLX-8724	MONOMER-11768; MONOMER-1261; MONOMER-1265; MONOMER-1284; MONOMER-15392; MONOMER-8881; MONOMER-8901
3848	Glycine soja	1	TAX-3848	yes	2	no	0	2	0	yes	yes	yes	no	no	4	4	0	0	2	resolved_name		
46348	Glycyrrhiza echinata	1	TAX-46348	yes	14	no	0	4	11	yes	yes	yes	no	no	16	38	0	0	15	resolved_name		
49827	Glycyrrhiza glabra	1	TAX-49827	yes	7	no	0	6	16	yes	yes	yes	no	no	26	28	0	0	21	resolved_name		
74613	Glycyrrhiza uralensis	1	TAX-74613	yes	2	no	0	2	1	yes	yes	yes	no	no	2	2	0	0	1	resolved_name		
29729	Gossypium arboreum	1	TAX-29729	yes	4	no	0	4	3	yes	yes	yes	no	no	6	6	0	0	3	resolved_name		
3634	Gossypium barbadense	1	TAX-3634	yes	2	no	0	1	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name	CPLX-7570	MONOMER-13699
3635	Gossypium hirsutum	1	TAX-3635	yes	1	no	0	0	3	yes	no	yes	no	no	0	3	0	0	3	resolved_name		
39387	Gypsophila vaccaria	1	TAX-39387	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
44745	Haematococcus lacustris	1	TAX-44745	yes	1	no	0	1	3	yes	yes	yes	no	no	4	4	0	0	4	resolved_name		
4233	Helianthus tuberosus	1	TAX-4233	yes	6	no	0	2	4	yes	no	yes	no	no	0	7	0	0	6	resolved_name	CPLX-1922; CPLX-1923	MONOMER-2181; MONOMER-2182
3981	Hevea brasiliensis	1	TAX-3981	yes	8	no	0	3	20	yes	yes	yes	no	no	23	36	0	0	29	resolved_name	CPLX-8534	MONOMER-17564
4513	Hordeum vulgare	1	TAX-4513	yes	40	no	0	23	31	yes	yes	yes	no	no	23	56	0	0	38	resolved_name	CPLX-1925; CPLX-1943; CPLX-1965; CPLX-4762; CPLX-6984; CPLX-8224	MONOMER-11780; MONOMER-16186; MONOMER-2185; MONOMER-2201; MONOMER-2226; MONOMER-7803
3486	Humulus lupulus	1	TAX-3486	yes	9	no	0	7	11	yes	yes	yes	no	no	31	36	0	0	17	resolved_name	CPLX-7046	MONOMER-11999
23110	Hydrangea macrophylla	1	TAX-23110	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
310458	Hyoscyamus albus	1	TAX-310458	yes	1	no	0	1	1	yes	yes	yes	no	no	3	3	0	0	3	resolved_name		
35626	Hyoscyamus muticus	1	TAX-35626	yes	2	no	0	2	1	yes	yes	yes	no	no	2	2	0	0	1	resolved_name		
4079	Hyoscyamus niger	1	TAX-4079	yes	8	no	0	2	4	yes	yes	yes	no	no	4	9	0	0	4	resolved_name	CPLX-7161; CPLX-7162; CPLX-7163	MONOMER-12443; MONOMER-12444; MONOMER-12445
140968	Hypericum androsaemum	1	TAX-140968	yes	8	no	0	1	6	yes	no	yes	no	no	0	15	0	0	7	resolved_name	CPLX-6741	MONOMER-11387
55963	Hypericum calycinum	1	TAX-55963	yes	2	yes	1	1	19	yes	yes	yes	yes	no	20	24	1	0	24	resolved_name		
65561	Hypericum perforatum	1	TAX-65561	yes	3	no	0	2	4	yes	yes	yes	no	no	4	8	0	0	8	resolved_name		
108394	Hyssopus <wasps, ants & bees>	1	TAX-108394	no	0	yes	1	0	0	yes	no	no	yes	no	0	0	2	0	2	resolved_name		
63779	Impatiens balsamina	1	TAX-63779	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
4120	Ipomoea batatas	1	TAX-4120	yes	6	no	0	3	8	yes	yes	yes	no	no	6	9	0	0	8	resolved_name	CPLX-8128	MONOMER-15814
35883	Ipomoea nil	1	TAX-35883	yes	1	no	0	1	4	yes	yes	yes	no	no	4	4	0	0	4	resolved_name		
4121	Ipomoea purpurea	1	TAX-4121	yes	1	no	0	1	4	yes	yes	yes	no	no	4	4	0	0	4	resolved_name		
51240	Juglans regia	1	TAX-51240	yes	1	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name		
23013	Kalanchoe daigremontiana	1	TAX-23013	yes	3	no	0	3	7	yes	yes	yes	no	no	27	27	0	0	10	resolved_name		
61147	Kandelia candel	1	TAX-61147	yes	2	no	0	2	11	yes	yes	yes	no	no	15	15	0	0	13	resolved_name		
4236	Lactuca sativa	2	ORG-6001; TAX-4236	yes	5	no	0	5	6	yes	yes	yes	no	no	13	13	0	0	8	resolved_name		
188838	Lampranthus sociorum	1	TAX-188838	yes	1	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name		
3862	Lathyrus tingitanus	1	TAX-3862	yes	1	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name		
39169	Lavandula	1	TAX-39169	no	0	yes	1	0	0	yes	no	no	yes	no	0	0	2	0	2	resolved_name		
39329	Lavandula angustifolia	1	TAX-39329	yes	2	no	0	2	4	yes	yes	yes	no	no	5	5	0	0	5	resolved_name		
3864	Lens culinaris	1	TAX-3864	yes	1	no	0	0	2	yes	no	yes	no	no	0	2	0	0	2	resolved_name		
33125	Lepidium sativum	1	TAX-33125	yes	1	no	0	1	1	yes	yes	yes	no	no	1	1	0	0	1	resolved_name		
3866	Leucaena leucocephala	1	TAX-3866	yes	2	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name	CPLX-6721	MONOMER-11365
4690	Lilium longiflorum	1	TAX-4690	yes	3	no	0	0	3	yes	no	yes	no	no	0	3	0	0	3	resolved_name	CPLX-6361	MONOMER-10861
42439	Limnanthes alba	1	TAX-42439	yes	2	no	0	2	2	yes	yes	yes	no	no	2	2	0	0	2	resolved_name		
28973	Limnanthes douglasii	1	TAX-28973	yes	2	no	0	2	3	yes	yes	yes	no	no	10	10	0	0	5	resolved_name		
407263	Linum flavum	1	TAX-407263	yes	4	no	0	1	3	yes	no	yes	no	no	0	3	0	0	3	resolved_name	CPLX-8979	MONOMER-19215
407264	Linum nodiflorum	1	TAX-407264	yes	4	no	0	1	3	yes	no	yes	no	no	0	3	0	0	3	resolved_name	CPLX-8978	MONOMER-19214
35941	Linum perenne	1	TAX-35941	yes	2	no	0	2	3	yes	yes	yes	no	no	3	3	0	0	3	resolved_name		
4006	Linum usitatissimum	1	TAX-4006	yes	11	no	0	3	15	yes	yes	yes	no	no	9	18	0	0	16	resolved_name	CPLX-8152; CPLX-8535; CPLX-8536	MONOMER-15903; MONOMER-17567; MONOMER-17568; MONOMER-17569; MONOMER-17570
4400	Liquidambar styraciflua	1	TAX-4400	yes	1	no	0	1	2	yes	yes	yes	no	no	2	2	0	0	2	resolved_name		
34254	Lithospermum erythrorhizon	1	TAX-34254	yes	6	no	0	4	16	yes	yes	yes	no	no	20	37	0	0	17	resolved_name		
4521	Lolium multiflorum	1	TAX-4521	no	0	yes	1	0	0	yes	no	no	yes	no	0	0	1	0	1	resolved_name		
4522	Lolium perenne	1	TAX-4522	yes	2	no	0	2	2	yes	yes	yes	no	no	3	3	0	0	2	resolved_name		
47247	Lotus corniculatus	1	TAX-47247	yes	3	no	0	2	5	yes	yes	yes	no	no	3	6	0	0	6	resolved_name		
34305	Lotus japonicus	1	TAX-34305	yes	117	no	0	116	45	yes	yes	yes	no	no	463	463	0	0	56	resolved_name	CPLX-5642	MONOMER-9445
3870	Lupinus albus	1	TAX-3870	yes	2	no	0	1	3	yes	yes	yes	no	no	1	4	0	0	4	resolved_name		
3871	Lupinus angustifolius	1	TAX-3871	yes	1	no	0	0	4	yes	no	yes	no	no	0	5	0	0	5	resolved_name		
3873	Lupinus luteus	1	TAX-3873	yes	11	no	0	0	11	yes	no	yes	no	no	0	26	0	0	16	resolved_name	CPLX-6141; CPLX-6976	MONOMER-10442; MONOMER-11745
3874	Lupinus polyphyllus	1	TAX-3874	yes	3	no	0	0	2	yes	no	yes	no	no	0	4	0	0	2	resolved_name		
3869	Lupinus termis	1	ORG-5911	yes	1	no	0	0	1	yes	no	yes	no	no	0	1	0	0	1	resolved_name		
283673	Lycopersicon hirsutum	1	TAX-283673	yes	1	no	0	1	2	yes	yes	yes	no	no	2	2	0	0	2	resolved_name		
3406	Magnolia grandiflora	1	TAX-3406	yes	2	no	0	2	2	yes	yes	yes	no	no	2	2	0	0	2	resolved_name		
3750	Malus domestica	3	ORG-6292; ORG-6293; TAX-3750	yes	14	no	0	9	8	yes	yes	yes	no	no	12	15	0	0	11	resolved_name	CPLX-6946; CPLX-6951	MONOMER-11700; MONOMER-11716
283210	Malus pumila	1	TAX-283210	yes	2	no	0	1	2	yes	yes	yes	no	no	1	3	0	0	2	resolved_name		
3983	Manihot esculenta	2	ORG-5912; TAX-3983	yes	9	no	0	5	4	yes	yes	yes	no	no	11	15	0	0	5	resolved_name	CPLX-4481; CPLX-4482	MONOMER-6902; MONOMER-6903
3724	Matthiola incana	1	TAX-3724	yes	4	no	0	0	9	yes	no	yes	no	no	0	13	0	0	10	resolved_name		
3879	Medicago sativa	1	TAX-3879	yes	12	no	0	9	25	yes	yes	yes	no	no	33	39	0	0	30	resolved_name		
3880	Medicago truncatula	1	TAX-3880	yes	9	yes	1	9	14	yes	yes	yes	no	no	22	22	0	0	18	resolved_name		
59788	Megathyrsus maximus	1	TAX-59788	yes	7	no	0	1	12	yes	yes	yes	no	no	3	25	0	0	14	resolved_name	CPLX-8566	MONOMER-17677
47082	Melilotus albus	1	TAX-47082	yes	5	no	0	0	2	yes	no	yes	no	no	0	5	0	0	2	resolved_name		
190902	Mentha aquatica	1	TAX-190902	yes	1	no	0	1	2	yes	yes	yes	no	no	3	3	0	0	3	resolved_name		
29719	Mentha spicata	1	TAX-29719	yes	2	no	0	2	6	yes	yes	yes	no	no	8	8	0	0	7	resolved_name		
34256	Mentha x piperita	1	TAX-34256	yes	17	no	0	14	16	yes	yes	yes	no	no	12	19	0	0	11	resolved_name	CPLX-4642; CPLX-7045	MONOMER-11994; MONOMER-11995; MONOMER-7502
